"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,7631,44248,0,0
5,8172,5905292,0,0
10,5220,10812292,0,0
16,8076,15680408,60000,40692.21610053938
21,7377,18254892,60000,67629.52173621104
26,8131,24593448,60000,88062.19774779196
31,8859,27261400,60000,105086.48734380415
36,9073,27316256,60000,120997.28708214863
42,9157,27511592,60000,136012.5577050628
47,9202,27671168,60000,147152.36428834306
52,8679,27680420,60000,147727.8160222343
57,8903,28015704,60000,149281.69029154297
62,9046,28115032,60000,153414.00798695415
68,7509,28272248,60000,157426.4680211055
73,106.4,27702608,56821,161651.7342593997
85,100.0,0,0,0
