"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,193.0,49160,0,0
5,172.7,11384136,0,0
10,799.6,23259812,0,0
15,289.4,79703068,1000,5.537936762040385
20,256.6,84218760,1000,17.88266247008402
26,379.2,98482252,1000,35.37076912108393
31,408.6,122259448,1000,47.988953777921225
36,299.8,134633512,1000,57.77425697675369
41,310.6,134633744,1000,65.16925731328105
46,381.0,143217860,1000,69.86996456178629
52,319.8,146672880,1000,74.17587418095358
57,348.1,146672968,1000,75.15803611247527
62,360.9,145860940,1000,78.9848756128066
67,368.8,145861116,1000,82.3828459656014
72,79.2,151033572,963,84.24359995383968
77,22.8,151033648,479,85.3117036841298
83,6.8,151033656,141,82.84515080450133
88,0.0,151033732,29,78.37473507982489
