"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,276.8,7120,0,0
1,1477,225932,0,0
6,1446,5973816,3770,3565.157003897082
12,988.4,10451476,20000,5163.6560443069775
17,741.2,11762424,20000,7058.783909137292
22,931.3,12876672,20000,11466.54562963096
27,339.7,15202356,20000,12943.136278361499
32,871.7,15237272,20000,13247.61736157456
38,567.1,15267816,20000,14714.714143185902
43,778.8,15352680,20000,14927.56479041901
48,666.0,16186504,20000,15571.694415267832
53,475.2,16201364,20000,15953.109927328574
58,777.8,16247524,20000,16235.820724825984
63,608.0,15026444,20000,16622.69860089813
69,619.0,14513184,20000,16795.978794173097
74,854.5,14515772,20000,16957.32769958913
79,454.6,16016560,20000,17271.11330401929
84,801.4,16130840,20000,17313.141806811363
89,503.6,16438784,20000,17419.79218586825
95,783.0,16439028,20000,17620.55367204401
100,628.6,16573052,20000,17674.39513152949
105,658.5,16574848,20000,17740.953215876227
110,776.4,15023048,20000,17893.04487177397
115,448.6,15036672,20000,17905.199790767456
120,831.6,15203684,20000,17985.916075652083
126,487.2,15771716,20000,17980.164756455397
131,781.6,15839776,20000,18120.540368706523
136,784.2,16646516,20000,18187.86861047272
141,520.6,16663420,20000,18223.184345863512
146,820.0,16805848,20000,18270.619412350716
151,568.6,16158160,20000,18263.97171365734
157,783.2,15711356,20000,18355.58586784022
162,879.0,15711396,20000,18297.793206028116
167,786.0,15651188,20000,18437.69906516386
172,921.2,15118060,20000,18467.62521475142
177,481.8,15778572,20000,18511.425312662115
183,813.2,16093484,20000,18452.139845885406
188,490.2,16117224,20000,18435.904739168724
193,855.3,16142312,20000,18500.108006219587
198,832.4,17108296,20000,18531.891507397457
203,585.2,17108372,20000,18500.592283884136
208,805.0,15540568,20000,18577.19516432363
214,494.8,15962208,20000,18486.092669103495
219,890.8,16001916,20000,18565.668122851264
224,530.6,16337332,20000,18518.434802884443
229,833.6,16399260,20000,18610.614551402356
234,833.1,16810160,20000,18511.29906289241
239,544.8,16810220,20000,18605.895909136045
245,842.0,16810228,20000,18671.82450124371
250,603.4,16227556,20000,18635.38459026061
255,878.4,16119460,20000,18719.872937363092
260,882.6,16119460,20000,18618.245473620962
265,610.8,16150988,20000,18704.460268532846
270,830.5,16167152,20000,18647.743783312322
276,517.8,16569920,20000,18774.995052546823
281,827.1,16596268,20000,18780.34685958474
286,658.2,16596268,20000,18721.0822083177
291,724.8,16596268,20000,18774.050090073768
296,826.4,17118180,20000,18731.9946208775
302,554.6,17396520,20000,18836.92065009116
307,834.4,17397476,20000,18831.105480248665
312,673.3,17404316,20000,18842.075131019337
317,928.2,17404316,20000,18834.754749101576
322,719.0,17404328,20000,18867.598419011327
327,865.2,17464704,20000,18854.308466104983
333,610.2,17475776,20000,18870.219034341513
338,838.0,17476144,20000,18898.51410499565
343,494.0,17692888,20000,18904.574086033324
348,869.5,17726788,20000,18904.07992079524
353,643.4,17727576,20000,18907.84031676771
358,929.7,17727584,20000,18919.631170125005
364,695.8,16522796,20000,18895.53551847179
369,706.8,16593892,20000,18938.079422529874
374,749.3,16749900,20000,18895.612638473245
379,567.4,16770012,20000,18943.415377436293
384,904.8,16770012,20000,18890.978374189475
390,657.6,16837256,20000,18836.15437652444
395,914.4,16837304,20000,18980.357485892087
400,548.3,17225812,20000,18930.458368959447
405,799.2,17276460,20000,18991.925251649445
410,550.8,17288988,20000,18984.191068135224
415,843.9,17289204,20000,19118.720067312875
421,658.3,17291900,20000,19042.00568866
426,912.0,17915820,20000,19008.725068512336
431,514.8,17938092,20000,19005.82413955765
436,861.3,17938440,20000,18967.755028382493
441,580.8,17302528,20000,18910.67556793976
447,821.2,16837760,20000,19021.33542780399
452,747.7,16845068,20000,19000.7577871557
457,831.2,17220392,20000,18949.345466560106
462,821.8,16722256,20000,19036.89321060424
467,627.2,16993836,20000,19022.691242729816
472,882.4,16995972,20000,18990.415900121752
478,585.2,17004028,20000,18944.60982910281
483,892.8,17004028,20000,19046.561963428532
488,636.7,17361872,20000,19022.81853002361
493,857.7,17361904,20000,18974.03277463374
498,567.8,17363040,20000,18931.2391680485
504,870.0,17421472,20000,19058.11698899983
509,578.4,17423112,20000,19014.235127831565
514,912.6,17438936,20000,18971.715818831624
519,588.2,17473956,20000,18926.866748537886
524,859.5,18160192,20000,19068.150685644458
529,551.4,18267532,20000,19078.055236515007
535,890.0,18267900,20000,19036.702802415002
540,619.4,18518544,20000,19061.139969588094
545,911.0,18526736,20000,19022.435783556637
550,605.2,18599120,20000,19058.65529892263
555,926.3,18599644,20000,19159.981489912432
560,641.0,17614564,20000,18987.9820422205
566,778.8,17664200,20000,19107.09182895339
571,691.2,17723560,20000,19116.138687616443
576,714.6,17764528,20000,19078.878653519343
581,746.7,17768184,20000,19112.8664162449
586,657.8,17768936,20000,19073.73725299976
592,889.2,17771488,20000,19105.851320419995
597,607.6,17771536,20000,19060.884921453406
602,471.4,17772320,20000,19095.28439070626
607,309.8,17858936,16904,19101.330464632516
612,109.0,15785036,2091,18992.92718396455
618,100.4,14642156,2091,18992.92718396455
628,100.0,0,0,0
