"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,185.0,31288,0,0
5,195.0,1597940,3379,0
10,68.8,3218064,6000,1784.884865134894
16,61.9,3458528,6000,1597.4392753942689
21,113.0,3468844,6000,2185.063575216648
26,93.6,4485368,6000,2497.4414605418456
31,124.2,4874692,6000,2568.0629560838634
36,82.4,5192420,6000,2570.0733542016496
42,116.0,5193808,6000,2704.388389605631
47,129.0,5210312,6000,2791.018972527673
52,92.8,5065420,6000,2871.9708508924737
57,115.8,4931628,6000,2931.2458324750114
62,77.0,4933452,6000,2905.6351681693254
68,100.6,4934968,6000,2862.7265517530445
73,75.4,4936520,6000,2911.0142464923188
78,173.3,4937040,6000,2945.977768313794
83,76.8,5025880,6000,2989.729951251708
88,100.4,5025880,6000,3020.2658787655137
94,107.2,5025924,6000,2932.443911466069
99,92.0,5037816,6000,2963.416327318365
104,138.6,5038088,6000,2990.0800201030215
109,99.6,5038120,6000,3012.637912503287
114,78.2,4786696,6000,3010.9349702766285
120,153.8,4794812,6000,3017.3411809506633
125,95.4,4794812,6000,3037.47213903075
130,85.4,4794880,6000,3056.1245976077057
135,166.7,4794880,6000,3075.688925362456
140,85.8,4797948,6000,3091.763929011585
146,93.8,4816580,6000,3106.410992859585
151,111.2,4816604,6000,3071.2748683664745
156,97.4,4816604,6000,3078.8053512346314
161,139.1,4816632,6000,3092.2755434709384
166,97.0,4816632,6000,3104.2346811924654
172,77.0,4496072,6000,3115.975915133181
177,140.8,4496072,6000,3126.7741862026555
182,55.0,4538180,6000,3101.196620105072
187,76.8,4538180,6000,3080.335712800002
192,169.3,4538180,6000,3091.024116554884
198,42.0,4738148,6000,3102.403238990315
203,68.2,4738148,6000,3055.832902350467
208,156.5,4738148,6000,3058.2226348457025
213,98.6,4738148,6000,3069.266484757566
218,85.4,4740232,6000,3079.19495301467
224,174.1,4768392,6000,3088.3448238137553
229,85.6,4879808,6000,3098.4706334890043
234,92.8,4879808,6000,3106.0584055704467
239,164.0,4879808,6000,3112.460833337515
244,98.6,5075624,6000,3123.489702334399
250,86.6,5075624,6000,3130.9767415497568
255,174.8,5075624,6000,3138.2793119394214
260,87.6,5075752,6000,3145.5326172553405
265,108.4,5075812,6000,3152.6157973950944
270,144.9,5076436,6000,3159.9696037114695
276,97.2,4963912,6000,3166.527430430299
281,124.8,4963912,6000,3172.5779538081856
286,109.0,4963924,6000,3166.9256261133387
291,90.0,4963924,6000,3167.162649229944
296,158.6,4963924,6000,3172.9416138114652
301,89.6,4963940,6000,3177.8509612211933
307,92.2,4963940,6000,3183.4337561357297
312,168.0,4963940,6000,3188.808034999849
317,96.2,4964024,6000,3194.212406958668
322,88.4,4964024,6000,3199.40746368149
327,165.1,4964024,6000,3203.8032566714173
333,92.0,4964024,6000,3207.656524549781
338,100.0,4991016,6000,3212.922267003615
343,156.6,4991016,6000,3210.119465362062
348,98.4,4991016,6000,3216.511342839592
353,129.3,4991016,6000,3220.845002069426
359,124.4,4991016,6000,3223.6522104315777
364,93.8,4737840,6000,3228.2632799812486
369,120.6,4737840,6000,3231.8237211837095
374,124.4,4809912,6000,3227.9882606238248
379,96.0,4915268,6000,3233.3205154788866
385,163.4,4915268,6000,3237.074162340914
390,60.2,4915268,6000,3240.7762711740033
395,68.7,4915268,6000,3223.7325737191973
400,155.4,4923516,6000,3217.9319982282673
406,98.2,4911796,6000,3221.277803010909
411,127.8,4822396,6000,3224.9738190062753
416,131.0,4886588,6000,3227.221618906602
421,89.8,4888732,6000,3231.618917587927
426,144.5,4888732,6000,3234.7188004561276
432,105.8,4958364,6000,3237.1613882473994
437,96.6,4568940,6000,3240.222520869816
442,158.7,4563308,6000,3243.7039441720485
447,87.0,4758580,6000,3243.0756718307903
452,80.0,4758708,6000,3242.113515314636
458,162.4,4758708,6000,3243.8510830806913
463,89.2,4868772,6000,3246.8574670317053
468,93.6,4869208,6000,3249.916815672591
473,154.4,4869208,6000,3252.2770726639064
478,83.2,5000676,6000,3254.412441159022
484,78.4,5002044,6000,3250.6160467527698
489,160.8,5002044,6000,3250.786051531121
494,90.2,5012356,6000,3253.270406583659
499,77.4,5017628,6000,3256.1015770196063
504,139.8,5017628,6000,3254.418908270167
510,79.4,4739276,6000,3246.6354854196566
515,155.4,4795608,6000,3248.026050959393
520,91.2,4798296,6000,3249.748441521788
525,89.0,4806548,6000,3252.5931553259666
531,172.4,4806548,6000,3254.9338348918104
536,89.8,4948792,6000,3257.527458924875
541,88.6,4948876,6000,3259.617651575867
546,146.4,4948876,6000,3261.9016032084505
551,78.6,4624180,6000,3259.4944848930977
557,87.2,4525876,6000,3257.677074611895
562,162.0,4525876,6000,3260.3904387491298
567,91.4,4907964,6000,3262.4590615908455
572,111.0,4912464,6000,3264.3704610398086
577,112.2,4912464,6000,3259.192731242461
582,94.4,4912464,6000,3258.327753037832
588,84.8,4912464,6000,3260.2155925914994
593,173.0,4912476,6000,3262.0125101880817
598,72.0,5260560,6000,3264.222430621857
603,51.3,5263148,6000,3260.4385413236523
608,18.2,5263148,5354,3252.392224806401
614,0.0,5263152,2487,3233.6911341101627
