"Time (s)","CPU (%)","RAM (kB)","VUs","RPS"
0,186.0,31616,0,0
5,194.0,1520308,1433,0
10,198.2,2604712,6000,901.2276640516377
16,121.8,3504472,6000,1499.9722691304366
21,83.2,4303212,6000,2222.6567104488054
26,198.4,4654464,6000,2787.5881218441887
31,195.0,4925696,6000,2954.036036999756
36,106.6,4939480,6000,3193.0298824450438
42,198.4,4945920,6000,3125.0446592076837
47,131.2,5008204,6000,3399.7217785402695
52,127.2,5008848,6000,3606.5354295221496
57,175.0,5155064,6000,3738.8839506444097
62,86.8,5244468,6000,3730.7046159450433
68,137.4,5261888,6000,3806.963435297864
73,148.6,5426940,6000,4026.942920377729
78,107.8,5573576,6000,3886.8061583926283
83,118.2,5573844,6000,3969.429487899348
88,158.9,5575868,6000,4102.54345728359
94,139.8,5715912,6000,4023.4623689004015
99,88.8,5716644,6000,4096.240964560574
104,137.2,5716812,6000,4154.628212814664
109,141.5,5719440,6000,4311.90990168014
115,109.6,5783344,6000,4179.156025498062
120,125.9,5789724,6000,4225.084552544973
125,159.1,5838832,6000,4316.953412636247
130,125.9,5839488,6000,4247.104311778722
135,109.0,5839604,6000,4218.839501472121
141,188.0,5839668,6000,4337.410943693916
146,123.0,5843700,6000,4362.486327079545
151,108.0,5850436,6000,4372.804636249456
156,195.8,5850452,6000,4383.883313949147
161,104.8,5900604,6000,4475.09016798957
167,131.8,5904704,6000,4431.975850193074
172,147.4,5904796,6000,4464.92805557151
177,169.4,5904852,6000,4620.748283061555
182,130.3,5939912,6000,4515.917631666512
188,119.4,5939936,6000,4545.6957566462515
193,198.0,5998876,6000,4587.559869261898
198,110.0,6116748,6000,4601.056607026882
203,128.0,6116936,6000,4572.926154817475
208,177.4,6116936,6000,4593.81845680813
214,165.6,6117348,6000,4609.92702820619
219,124.2,6117648,6000,4643.866240246909
224,137.7,6117656,6000,4657.99425688602
229,195.2,6117744,6000,4684.519628172568
235,113.4,6207436,6000,4694.903079785795
240,119.8,6207448,6000,4739.441175129956
245,182.0,6207448,6000,4687.16853820443
250,157.6,6207484,6000,4700.191232437818
255,125.0,6207500,6000,4726.80640852153
261,143.6,6207504,6000,4744.0990834629465
266,146.0,6207536,6000,4763.692397922393
271,144.6,6368260,6000,4756.819215842456
276,137.0,6476628,6000,4748.396235030608
281,137.5,6476628,6000,4765.643792841069
287,170.2,6569664,6000,4824.846063001442
292,140.8,6569664,6000,4764.996984419064
297,142.8,6569664,6000,4779.022252561961
302,159.0,6569664,6000,4799.239195587738
307,128.7,6569712,6000,4728.061397217985
313,137.9,6275012,6000,4775.615159822477
318,163.1,6275012,6000,4785.527372296528
323,168.8,6275012,6000,4851.138897198264
328,149.2,6275012,6000,4803.995466143468
333,137.1,6275012,6000,4817.725666040549
339,170.2,6275012,6000,4830.132776047303
344,124.4,6275012,6000,4855.699452971287
349,131.5,6364284,6000,4807.779174868394
354,172.1,6375444,6000,4817.248641537533
359,140.3,6375444,6000,4767.627639395399
365,140.2,6375444,6000,4822.429298517749
370,148.2,6375444,6000,4824.594603944344
375,181.2,6375444,6000,4834.390873753694
380,128.2,6375508,6000,4782.950108671952
386,117.8,6375508,6000,4804.575675828199
391,182.6,6375508,6000,4838.026133185886
396,164.7,6375508,6000,4893.642454848281
401,145.2,6375508,6000,4844.262895597181
406,146.9,6375508,6000,4819.856301600165
412,176.6,6375508,6000,4840.348284787395
417,131.8,6375508,6000,4815.167757784872
422,135.4,6375508,6000,4844.168444113209
427,179.4,6375508,6000,4849.94457995751
432,179.6,6375508,6000,4881.296160289486
438,154.0,6476788,6000,4861.246226281589
443,147.8,6476788,6000,4871.777710408365
448,197.6,6476788,6000,4891.871279832596
453,159.9,6476788,6000,4895.339242669344
459,147.6,6476788,6000,4895.4828789812755
464,198.0,6476792,6000,4924.180111043899
470,142.5,6476796,6000,4874.554513315938
475,176.2,6476796,6000,4921.8295058926105
480,180.6,6476796,6000,4881.6722325304345
485,190.8,6476796,6000,4848.009224972819
491,184.4,6476796,6000,4884.109678709515
496,171.3,6476796,6000,4847.170102899134
501,198.2,6476800,6000,4931.349735027694
508,149.8,6476800,6000,4879.732768677985
513,167.7,6476800,6000,4836.062073794955
519,198.0,6476800,6000,4922.496941563361
524,132.2,6476800,6000,4877.378570988166
529,140.0,6476800,6000,4884.720016574818
535,196.6,6479648,6000,4941.114865804795
542,155.3,6542612,6000,4873.927776170783
547,141.0,6545868,6000,4879.4717094307825
552,197.8,6571332,6000,4916.650779887052
558,133.8,6571332,6000,4878.024596229614
563,141.8,6571332,6000,4834.865681344772
569,180.2,6571332,6000,4845.568392462589
574,159.7,6571964,6000,4893.500943438982
579,154.2,6571964,6000,4866.334688815614
584,157.4,6571964,6000,4875.55607392537
589,198.0,6572372,6000,4928.715914013413
596,150.8,6572376,6000,4882.0264792210755
601,132.8,6572376,6000,4890.101794144455
606,74.4,6572472,5186,4883.297369617458
611,21.8,6572476,2674,4855.377867171333
616,0,6596016,0,4822.479798503933
